20:51:49.881 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - Moon:11
20:51:49.887 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - resentful:1
20:51:49.888 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - bring:1
20:51:49.888 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - during:1
20:51:49.888 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - entire:1
20:51:49.888 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - promised:1
20:51:49.888 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - decided:1
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - worked:1
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - her:3
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - ticked:1
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - friend:2
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - truly:1
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - darkness:1
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - they:2
20:51:49.889 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - sky:2
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - ashamed:1
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - went:1
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - warmth:3
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - in:3
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - began:2
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - night:1
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - triumphant
But:1
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - forgiveness:1
20:51:49.890 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - understand:1
20:51:49.891 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - being:1
