20:51:49.896 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - a:2
20:51:49.897 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - could:1
20:51:49.897 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - great:1
20:51:49.897 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - They:1
20:51:49.897 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - barren:1
20:51:49.897 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - the:32
20:51:49.897 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - shone:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - powerful:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - days:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - to:7
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - did:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - Once:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - equally:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - feel:1
20:51:49.898 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - had:4
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - envious:1
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - upon:1
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - Sun's:3
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - She:3
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - that:3
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - refused
The:1
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - day:2
20:51:49.899 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - furious:1
20:51:49.900 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - realize:1
20:51:49.900 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - always:1
20:51:49.900 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - minutes:1
