20:57:47.224 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - bringing:1
20:57:47.226 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - light:4
20:57:47.226 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - plunged:1
20:57:47.226 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - force:1
20:57:47.227 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - completely:1
20:57:47.227 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - hurt:2
20:57:47.227 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - be:1
20:57:47.227 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - matter:1
20:57:47.227 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - vowed:1
20:57:47.227 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - The:3
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - how:1
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - into:1
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - ways:1
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - blocked:1
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - Without:1
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - by:2
20:57:47.228 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - her
From:1
20:57:47.229 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - share:1
20:57:47.229 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - so:1
20:57:47.229 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - overshadowed:1
20:57:47.229 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - together:1
20:57:47.229 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - But:1
20:57:47.230 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - a:2
20:57:47.230 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - could:1
20:57:47.230 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - great:1
