20:57:47.230 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - They:1
20:57:47.231 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - barren:1
20:57:47.231 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - the:32
20:57:47.232 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - shone:1
20:57:47.232 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - powerful:1
20:57:47.232 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - days:1
20:57:47.232 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - to:7
20:57:47.232 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - did:1
20:57:47.233 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - Once:1
20:57:47.233 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - equally:1
20:57:47.233 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - feel:1
20:57:47.233 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - had:4
20:57:47.233 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - envious:1
20:57:47.233 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - upon:1
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - Sun's:3
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - She:3
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - that:3
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - refused
The:1
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - day:2
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - furious:1
20:57:47.234 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - realize:1
20:57:47.235 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - always:1
20:57:47.235 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - minutes:1
20:57:47.235 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - kind:1
20:57:47.235 [main] INFO  com.solvd.itcompany.readtext.ReadTextFromFile - felt:1
