21:38:38.070 [main] INFO  com.solvd.itcompany.Runner - name
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - employees
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - clients
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - projects
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - projectStatus
21:38:38.071 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - logger
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private static final
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.lang.String
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Method name: getName
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Method name: setName
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner -  java.lang.String
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Method name: setEmployees
21:38:38.072 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:38:38.073 [main] INFO  com.solvd.itcompany.Runner -  java.util.ArrayList
21:38:38.073 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public final
21:38:38.073 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
