21:59:30.101 [main] INFO  com.solvd.itcompany.Runner - The name of the constructor: com.solvd.itcompany.ITCompany
21:59:30.102 [main] INFO  com.solvd.itcompany.Runner - The fields of the class: 

21:59:30.102 [main] INFO  com.solvd.itcompany.Runner - name
21:59:30.102 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:59:30.102 [main] INFO  com.solvd.itcompany.Runner - employees
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - clients
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - projects
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - projectStatus
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:59:30.103 [main] INFO  com.solvd.itcompany.Runner - logger
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private static final
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.lang.String
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Method name: getName
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Method name: setName
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner -  java.lang.String
21:59:30.104 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:59:30.105 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.util.ArrayList
21:59:30.105 [main] INFO  com.solvd.itcompany.Runner - Method name: getEmployees
21:59:30.105 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
